Station	Lat	Lon	NO2	PO4	NO2NO3	Si	pH	CO2	HCO3	CO3	tcarb	tAlka	chlc3	chlc12	chda	peri	phaeophorba	butan	fuco	neox	prasino	violax	hexano	diadino	allox	diatox	zeax	lutein	bactChla	dvnylChlb	Chlb	chlbtot	dvnylChla	Chla_hplc	chlatot	phaeopha	carot	micro	nano	pico	seaiceconc	moonphase	PAR	Fe	NH4	ssCDOM	chla_ss	chla_int	NPP_arctic	NPP_vgpm	POC	PIC	Okubo	Lyapunov	ResTime	Kd490	acDOM	KdPAR	Zeu	Zmld	Tzeu	Szeu	Chl10m	O2_10m	NO3_10m	flux200m	flux500m	flux1000m	Slopepartsurf	Slopepart200m
64	-30.18465481	36.56625169	0.0025	0.211375	1.770875	2.339625	8.0838835	11.5535085	0	0.011775	0.01215	0.000875	0.0131	0.012775	0	0.001575	0	0.011775	0.01215	0.000875	0.003175	0	0.02175	0.003225	0.001125	0	0.0414	0	0.000775	0	0.025825	0.025825	0.091875	0.1479	0.239775	0	0.0187	17.05671469	28.57328577	54.36999954	0	0.123333333	21.982067	0.000782113	0.010062606	1.180353333	0.233731502	22.27292857		574.7465	67.69209735	0.000159749	2.7288895	0.1311825	0	0.0493735	0.019667019	0.109497022	63.20321608	63.66666667	22.22926667	35.49376667	0.155546667	210.3982		0.886262162	0.879176781	0.905712356	-2.428603272	-2.303008324
65	-35.16297165	24.82679567																																							0	0.08	19.44138375	0.000536407	0.014656508		0.377297726	22.1598		716.0775	93.03405839	0.000233743	2.4619345	0.120933	0	0.058705	0.027471008	0.124860016	56.1093359	77	21.8225	35.6141	0.2173	206.2062		0.572947282	0.512159085	0.675488312	-2.558931874	-2.493661202
66	-34.38994788	17.94311059	0.257625	0.3958125	3.7019375	2.6300625	8.0739105	14.788352	0.02455	0.028125	0.030325	0.00505	0.039325	0.045925	0.00425	0.01485	0.02455	0.028125	0.030325	0.00505	0.014225	0.001525	0.077525	0.00975	0.0109	0	0.013825	0.0016	0	0	0.08055	0.08055	0	0.442325	0.442325	0.003625	0.01035	23.43668507	42.25459904	34.30871589	0	0.1	26.07317125	0.000363941	0.031380913	2.7018	2.143780261	29.20825		2201.919	174.2564964	0.000253913	0.093819	0.0492725	0.5555555	0.0649145	0.034225812	0.132811344	50.96177546	85	17.282	35.552	0.288936667	228.2469333	2.3848	0.688737745	0.760475919	0.652228917	-2.875272907	-2.805016883
67	-31.85822189	14.15447515	0.006				8.025701	17.005393	0.0107	0	0.0177	0	0.0009	0.0032	0	0	0.0107	0	0.0177	0	0	0	0.0011	0.0016	0.0014	0.0015	0.0011	0	0	0	0.0017	0.0017	0	0.0355	0.0355	0.0077	0.0016	83.58843822	7.492380346	8.919181431	0	0.165	39.172722	0.000392081	0.029591877	2.7018	8.325894979	38.23335		2753.3785	535.47914	9.54425E-05	0.056813	0.0602185	3.75	0.747315	0.200164781	0.572640724	25.12705437	18	13.5941	35.01195	1.17663	243.2098333	1.099335	0.652419296			-3.006478996	-2.833533034
68	-30.1286181	4.402992241	0.27875	0.3825	3.578375	2.8035	8.067297	13.757896	0	0.0428	0.01035	0.003425	0.024425	0.0229	0	0.001725	0	0.0428	0.01035	0.003425	0.003875	0.000825	0.05705	0.005275	0	0.00025	0.039725	0	0	0	0.045625	0.045625	0.06595	0.167125	0.233075	0	0.01245	9.217856679	47.3370907	43.44505262	0	0.565	39.0858684	0.000485607	0.016300059	5.91167	0.177777324	50.94343333		441.138	58.39044794	0.00020116	-0.039452	0.066727	35.6666665	0.803026	0.096364432	0.562203781	52.23331451	159	15.886625	35.6619	0.6942125	238.2515	1.15157	0.337296908	0.330166791	0.118078031	-2.691504193	-2.706394042
69	-21.97169747	-0.751662025	0.014	0.22075	0.05175	1.6485	8.073648	12.68267	0	0.025	0.008375	0.001425	0.01425	0.015875	0	0.00235	0	0.025	0.008375	0.001425	0	0.000925	0.04385	0.00445	0	0.00145	0.0641	0	0.001	0	0.033775	0.033775	0.07685	0.1175	0.19435	0	0.013825	8.958652374	38.17494616	52.86640146	0	0.885	41.73294467	0.000695375	0.016037605	1.43848	0.187285966	31.9549		475.34	55.41097832	0.000238815	-0.069366	0.030075	32.472222	0.0348	0.016175488	0.075065836	65.5077095	26	18.1153	36.0311	0.20493	227.6788	-2.3077	0.769033651	0.87406538		-2.582944132	-2.47994814
70	-18.38801581	-4.340447826	0.04575	0.577666667	6.9915	3.015666667	8.0142625	16.205793	0	0.045375	0.01225	0.00355	0.027775	0.02785	0	0.007575	0	0.045375	0.01225	0.00355	0	0.001775	0.0767	0.007	0	0.0032	0.03905	0.003125	0.001175	0	0.04705	0.04705	0.046375	0.170175	0.21655	0	0.010725	12.57190338	50.95200295	36.47609367	0	0.91	42.35617	0.001015697	0.014063927	1.43848	0.175420264	44.44218		475.34	60.61495145	0.000247337	0.007134	0.036064	0		0.014220097	0.090689424	66.40466531	110	19.7938	36.54645	0.259476667	219.1511333	0.28678	0.331948135	0.235561765		-2.631124037	-2.664779054
71	-9.140332778	-11.75443611	0.011	0.565875	6.497125	3.544625	7.984164	17.87674	0	0.0185	0.006483333	0.00095	0.01335	0.013933333	0	0.003583333	0	0.0185	0.006483333	0.00095	0	0.00115	0.053883333	0.00705	0	0.000716667	0.063683333	0	0.0008	0	0.00865	0.00865	0.0772	0.098383333	0.175583333	0	0.012775	9.301136922	49.08543844	41.61342464	0	0.333333333	48.60474286	0.001252873	0.012068701		0.069490915	34.474375		322.113	31.11512804		0.005728	0.056005	0		0.011214706	0.086470391	91.45952606	94	19.7174	36.5279	0.190953333	205.9055333	-1.281666667	0.132273751	0.127155956		-2.822616574	-2.820023101
72	-9.202783862	-18.72229974	0.006	0.685375	8.991875	5.2545	7.983368	17.6084775	0	0.020175	0.005475	0.001625	0.01345	0.01445	0	0.005225	0	0.020175	0.005475	0.001625	0.00025	0.001	0.04365	0.003925	0	0.000775	0.06765	0	0.000925	0	0.013125	0.013125	0.0845	0.098025	0.182525	0	0.016875	10.12421235	41.93877962	47.93700803	0	0.05	51.52785786	0.001255059	0.013284276		0.049947411	22.51796667		328.1285	28.24514389	6.08979E-05	0.019754	0.069938	0	0.02462	0.012871029	0.068134891	94.878125	76.33333333	25.01725	36.5931	0.083277	200.05	-0.90648	0.084646617	0.074787031		-3.062380529	-3.07832503
73	-14.28840761	-26.70554565	0.006125	0.63625	8.1685	4.71375	7.755053	31.866594	0	0.007325	0.002575	0	0.00525	0.00515	0	0.002075	0	0.007325	0.002575	0	0	0.0007	0.020925	0.00255	0	0	0.045825	0	0.0006	0	0.005675	0.005675	0.02915	0.051025	0.080175	0	0.006275	8.110841361	36.04632823	55.84283041	0	0.155	55.83666225	0.001139876	0.015481564		0.026452164	17.87106667			24.17009521	0.000110833	0.023503	0.047207	0		0.006088801	0.035099579	122.9790103	36.5	22.73535	36.97925	0.0397405	200.8206		0.069798736	0.050073317	0.034322191	-3.148582293	-3.10963497
74	-17.26490789	-31.241	0	0.52255	6.205159	3.2953935	8.0190995	14.7059405	0	0.00345	0.000975	0	0.002275	0.0019	0	0.000675	0	0.00345	0.000975	0	0	0.000075	0.008925	0.001125	0	0.000075	0.01615	0	0	0	0.00105	0.00105	0.00985	0.0198	0.02965	0	0.00185	7.802268745	42.0623276	50.13540365	0	0.365	51.44673767	0.000944773	0.014837256		0.022377919	17.03433333			21.65459109	0.000111107	0.020296	0.079505	0	0.021073	0.00579106	0.035679438	125.8102198	17.5	23.20943333	37.11193333	0.029821367	200.7133	0.39541	0.085230624	0.051387716		-3.322822879	-3.256502599
75	-19.75398571	-34.18978831	0	0.39498	4.598342	2.293975	8.0394005	13.381881	0	0.0043	0.0013	0	0.0033	0.00255	0	0.0007	0	0.0043	0.0013	0	0	0	0.0092	0.00115	0	0	0.01715	0	0	0	0.0012	0.0012	0.0128	0.0245	0.0373	0	0.00345	8.820769471	41.25430091	49.92492962	0	0.555	49.1777435	0.00081731	0.012973253		0.039039245	16.1786		191.757	24.61178017	9.30798E-05	0.0554145	0.0725245	0	0.0214	0.005042447	0.043158255	134.4980087	25.66666667	24.15423333	37.35526667	0.0281557	199.8135	0.248306667	0.178237426	0.212083268		-3.340781996	-3.279116275
76	-21.41871602	-36.29164031	0.0012525	0.270681	2.9139545	1.7071565	8.0629575	12.550641	0	0.004025	0.00245	0	0.002775	0.00295	0	0.001125	0	0.004025	0.00245	0	0	0.00015	0.00935	0.001825	0	0.0005	0.02225	0	0.00015	0	0.002025	0.002025	0.015525	0.02895	0.044475	0	0.00355	12.76001949	33.62486315	53.61511736	0	0.556666667	53.77938171	0.000790921	0.012232688		0.046220334	15.324		195.2895	26.4758108	9.00413E-05	-0.0299455	0.0365545	8.763889	0.022285	0.006378672	0.046665025	112.7611801	34.5	23.066575	37.213825	0.03855	204.210625	0.240239333	0.051869046	0.054680769		-3.206440765	-3.192458522
77	-27.70135	-43.5263378	0.004375	0.311875	3.64225	1.827375	8.060278	12.789518	0	0.0054	0.0044	0.00015	0.0036	0.004125	0	0.0013	0	0.0054	0.0044	0.00015	0	0.00045	0.0097	0.002625	0	0	0.03155	0	0.000075	0	0.0024	0.0024	0.023075	0.03675	0.059825	0	0.00495	15.51454549	27.42891338	57.05654113	0	0.16	54.38392533	0.000833763	0.015112371		0.067382845	17.4492		352.555	33.49191952	0.000141283	-0.045232	0.0968535	11.652778	0.028151	0.008016211	0.063490396	96.28122711	39	21.8827	36.9886	0.040949	208.5922	0.45275	0.190439531	0.20971668		-3.048799703	-2.982243928
78	-30.74889222	-43.88559281	0	0.123625	1.702	0.908375	8.08313	12.4008095	0	0.0049	0.00495	0	0.0028	0.00325	0	0.000975	0	0.0049	0.00495	0	0	0.0003	0.006825	0.0028	0	0.00125	0.021725	0	0	0	0.002625	0.002625	0.015575	0.0357	0.051275	0	0.00315	20.84822849	25.91039822	53.24137329	0	0.04	54.45910429	0.00093194	0.024162095		0.132303147	21.49372857		352.555	50.18298674	0.000179112	0.053558	0.14819	5.777778	0.03057475	0.0082537	0.063498227	97.61204224	49	20.81295	36.737925	0.0416315	215.752725	-0.026786667	0.084560117	0.093839386	0.0899109	-3.060131863	-3.019264864
79	-37.13066944	-53.91780139	0.00925	0.316375	3.527625	2.200125	8.0866235	13.096546	0.00075	0.016575	0.0081	0.0018	0.011275	0.0106	0	0.005975	0.00075	0.016575	0.0081	0.0018	0.003575	0.00115	0.026175	0.0054	0.000425	0.001125	0.0173	0	0.000375	0	0.01685	0.01685	0.007775	0.1045	0.112275	0.0011	0.0052	21.79875495	43.16583508	35.03540997	0	0.42	55.59382257	0.001205074	0.053155054		2.411111951	19.29513333			189.6262394	0.000433745	-3.547166	0.133847	15.416667	0.0453062	0.026008098	0.092889625	61.88477478	23	17.5077	35.9745	0.1346405	231.59845	-0.56957	0.306333783	0.303987198		-2.862809561	-2.84931018
80	-41.31980888	-52.08147027	0.0195	0.4885	6.21375	2.961	8.0733705	13.770333	0.003125	0.0154	0.03885	0.001	0.01515	0.015225	0.00225	0.0019	0.003125	0.0154	0.03885	0.001	0.0016	0.000825	0.0243	0.006975	0.0009	0.002175	0.0254	0	0.000375	0	0.014425	0.014425	0	0.172225	0.172225	0.001475	0.00685	43.97423117	28.15743705	27.86833178	0	0.28	53.28828433	0.001141055	0.125227903		0.312983527	28.93805			71.06565772	0.000287927	-1.9054195	0.1147645	10.2083335	0.04471375	0.021686741	0.115809037	65.30213089	28	18.84195	36.0809	0.1863555	224.68375	-1.5561	2.118897555	1.910103832		-2.531559991	-2.480015223
81	-44.96929379	-53.17157451	0.05875	0.8655	11.036	2.796	8.0976025	15.065844	0	0.00135	0	0	0	0	0	0	0	0.00135	0	0	0	0	0.00035	0	0	0	0.00095	0	0	0	0	0	0	0.00495	0.00495	0	0	0	52.88350634	47.11649366	0	0.066666667	56.3112254	0.000673335	0.139961891		0.627580211	31.2261		750.169	121.7007463	0.000580403	-0.1038105	0.148902	2.5	0.0895195	0.039809033	0.137192322	39.05642557	31	13.49635	34.9864	0.280405	255.3773	2.3515	1.865014189	1.633255473		-2.607040047	-2.496469157
82	-48.32974726	-59.18673767	0.10975	1.738625	23.6325	10.599																																			0	0.273333333	54.05602178	0.00016186	0.191816597		0.581594584	53.32896667		763.4865	114.5583998	0.001269425	0.0640935	0.101061	0	0.0606695	0.030394893	0.129533732	48.75906868	34.25	10.30055	34.599625	0.29779	279.680725	9.464375	11.3141379	5.154786101		-2.477991426	-2.293653919
83	-56.14687895	-63.76431447	0.2025	1.215	11.28	1.153	8.092944	16.360052																																	0	0.39	42.59640967	0.000020882	0.177346751		1.703746824	54.41055		132.631	140.8417141	0.000287123	-0.2050275	0.041442	0.986111	0.0728515	0.029600589	0.132928946	46.55527782	37.5	7.10475	34.21285	0.315175	303.98415	16.57725				-3.472439917	
84	-60.76436183	-57.80141237	0.179	2.0625	29.22	31.8275	7.875904	33.468561																																	0	0.02	41.64114914	0.000230145	0.052289938		0.1644858	39.5282		121.756625	52.80307735	0.000308696	-0.2472585	0.054322	10.875	0.040480667	0.128963052	0.106670528	47.19969781	57.5	3.93647	33.50815	0.193195	315.98685	18.1249	4.831998692	3.702728685		-2.031759235	-1.921531187
85	-62.43000855	-49.83899587	0.062	2.298	31.18	82.13			0.0155	0.00375	0.02675	0	0.0105	0.01855	0.0076	0.0016	0.0155	0.00375	0.02675	0	0	0	0.0732	0.0224	0.00235	0.004	0.00225	0	0	0	0	0	0	0.09175	0.09175	0.0015	0.002	29.05156437	69.54213453	1.406301101	0	0.126666667	32.23005122	0.000419595	0.007109276	0.98763	0.166380635	50.41776		110.535625	53.50835609	0.000115452	-0.0081175	0.032163	9.888889	0.0426845	0.017927356	0.085958223	68.91755486	50.66666667	0.33294	34.3003	0.108192667	342.6474667	27.2079					
86	-64.25842741	-53.58945259	0.059	2.44325	30.6125	62.84	8.1519125	19.0116645	0.00945	0	0.039225	0	0.007075	0.0239	0.003225	0	0.00945	0	0.039225	0	0.002675	0	0.0398	0.0078	0	0.00165	0	0	0	0	0	0	0	0.1132	0.1132	0.001	0.001575	52.24898621	47.75101379	0	0	0.58	28.9988456	0.000205802	0.07727117			51.1386					0.0009045	0.04434	0.75			0.129054081		12	-1.5265	34.1234	0.22949	397.3375	19.325	20.57364304			-2.085769552	-1.965572217
87	-63.71375373	-56.33395896																																							0	0.915	34.764731	0.000015519	0.132956176		0.234534785	275.6519					0.005717	0.025057	2.0833335															
88	-61.5085471	-60.23382536	0.145	2.135	27.68	48.17	8.075765	23.479237																																	0	0.65	35.4253615	0.000008565	0.117325139		0.22178824	504.2623			49.09059143	0.000397044	0.641371	0.053576	1.3333335		0.012720047	0.247910754	61.40335083	70.5	-0.63709	34.50875	4.7397	361.19485						
89	-52.20301667	-70.23849565	0.243	1.609	22.01	3.293	8.1004	17.224289																																	0	0.4225	35.287386	7.5655E-06	0.068254325		0.135806555	344.1124			47.04702059	0.000374099	0.3252995	0.067171	0		0.012720047	0.125193319	61.40335083	130	-0.79451	34.6058	1.9981	334.9752						
90	-37.77361103	-75.66450956	0.01	0.409	0.034	0.205	8.09341	12.341555																																	0	0.655	44.518707	4.7085E-06	0.034126469		0.304311276	161.6661			169.591011	0.000729404	-0.0360265	0.0255615	5.5555555	0.0325	0.018260972	0.09382615	72.60179758	75	7.543095	34.342	1.90665	284.1927						
91	-34.00680365	-72.72404307	0.069	0.724	0.559	0.432	8.074324	12.899881																																	0	0.395	45.120315	4.7575E-06	0.060771782		3.233922392	96.3024			320.9575933	0.000662299	-0.081281	0.0119665	5.5555555															
92	-33.80725714	-72.35224	0.039	0.795	0.11	0.49	8.114713	11.721928																																	0	0.395	42.7529	4.6165E-06	0.05696133	1.82307	3.23200208	36.5376		1547.255	390.6823669	0.000637559	0.061918	0	1.625	0.103364	0.037545189	0.204301812	37.32671928	22	17.4578	34.5349	1.8219	228.6961						
93	-33.80345286	-75.24604108	0.046	1.16075	11.00175	0.8005	8.092858	12.065853	0.00235	0.0114	0.02595	0	0.01585	0.02605	0	0.02885	0.00235	0.0114	0.02595	0	0.0019	0.0014	0.02615	0.00675	0.0015	0.0011	0.0057	0	0.0004	0	0.01735	0.01735	0	0.2897	0.2897	0.0124	0.00895	56.07501052	27.65033311	16.27465637	0	0.656666667	40.98098329	4.2565E-06	0.023250397	2.0312	0.617651879	30.2321		1143.683333	124.3841201	0.000631371	0.042707	0.05823	2.472222	0.625729	0.092593484	0.356517367	25.58159161	11	15.2211	34.5631	4.9338	243.3753		3.245649664	1.055995412		-2.642666409	-2.592616096
94	-32.18787857	-90.13221122	0.010375	0.77625	8.8235	3.4995	8.052847	12.378079	0	0.0075	0.001475	0.002175	0.00725	0.00835	0	0.0036	0	0.0075	0.001475	0.002175	0.000525	0.001475	0.015075	0.0015	0	0	0.025275	0.003025	0.0006	0	0.025425	0.025425	0.039425	0.062675	0.1021	0.00165	0.0075	9.373311458	28.51683384	62.1098547	0	0.97	44.414795	7.9265E-06	0.008675061	2.08828	0.062958416	37.3068		389.625	31.64219894	0.000148614	0.0068685	0.037189	2.5416665	0.0620025	0.036480396	0.118631542	60.26172447	37.5	16.856	34.5053	0.32599	229.15355	-0.397815	1.576823787	0.879118244		-2.726445357	-2.732239665
95	-30.56988696	-97.55905435	0.002375	0.581625	6.2290625	2.2405	8.005417	15.66852	0	0.003875	0.000875	0.00025	0.00435	0.005775	0	0.0022	0	0.003875	0.000875	0.00025	0	0.0005	0.011925	0.000925	0	0	0.0181	0.00145	0.0004	0	0.014225	0.014225	0.027875	0.0408	0.068675	0	0.003525	8.539984243	32.50147725	58.95853851	0	0.83	44.98334033	0.000079999	0.010955174	1.68278	0.026659874	35.0262		77.9266	22.21524358	0.000161529	0.0189185	0.036422	1.6944445	0.032487	0.01140207	0.075527529	82.87959671	44	16.0405	34.5044	0.066985	218.8999	-0.7602	1.839197638	1.129252366		-2.524862859	-2.455289089
96	-29.42467007	-102.233212	0.0015	0.56625	6.2851875	2.450875	8.028524	12.400552	0	0.00255	0.00065	0	0.002225	0.0033	0	0.000775	0	0.00255	0.00065	0	0	0	0.006325	0.000575	0	0	0.0095	0	0.000075	0.00045	0.00945	0.0099	0.0169	0.022	0.0389	0	0.003075	6.90380882	30.6672737	62.42891748	0	0.573333333	43.3711146	0.000193251	0.0093024	1.68278	0.01320946	19.53747143		77.9266	17.49137104	0.000288298	-0.1006715	0.036668	45.375	0.0210315	0.003554345	0.041998242	138.203659	32.66666667	17.3338	35.183575	0.07012425	207.499025	-0.2004525	1.726034635	1.096430324		-2.654033979	-2.576138682
97	-27.88069056	-108.0398675	0.007333333	0.3040625	2.489	0.7826875	7.969781	18.273744	0	0.001725	0.00055	0	0.00125	0.00255	0	0.000625	0	0.001725	0.00055	0	0	0	0.0051	0.000475	0	0	0.00845	0	0.000225	0.002175	0.003025	0.0052	0.018075	0.018125	0.0362	0	0.0023	7.794086515	33.31098723	58.89492626	0	0.188	42.651083	0.000235486	0.008200651	1.84413	0.014945122	15.560275		78.4074	17.84990485	0.000262	-0.127889	0.022712	45.375	0.019216	0.002777774	0.035211832	145.6211777	52	18.95046667	35.6373	0.049204333	203.1534333	-0.138646667	0.727752208	0.783558701		-3.255348284	-3.266293963
98	-25.38676893	-111.0938007	0.00075525	0.34696875	4.259555667	1.3753855	8.0064615	14.357026	0	0.001333333	0.00055	0	0.001116667	0.002033333	0	0.00095	0	0.001333333	0.00055	0	0	0	0.003683333	0.000616667	0	0	0.011366667	0	0.0003	0.00055	0.00275	0.0033	0.006783333	0.016583333	0.023366667	0	0.000983333	10.38402056	25.25796395	64.3580155	0	0.11	41.98480125	0.000118869	0.011584303	1.640765	0.015936808	13.5810625		90.1893	18.05990019	0.000249005	-0.0033395	0.0398865	4.1666665	0.020258	0.002361817	0.036154301	146.3027611	61	20.48086667	35.9537	0.0062352	200.6012333	0.17775	0.125460097	0.154040154		-3.460902721	-3.537673615
99	-18.17841613	-101.6466849	0.007375	0.794375	6.842	4.29825			0	0.000825	0.000275	0	0	0.001025	0	0.000275	0	0.000825	0.000275	0	0	0	0.002525	0.0003	0	0	0.016425	0	0	0	0.0012	0.0012	0.01175	0.00985	0.0216	0	0.001475	3.95491751	17.82645281	78.21862968	0	0.605714286	45.05918765	0.00000393	0.01680355	1.67784	0.105114877	34.47426667		264.950375	42.34194848	0.00022361	0.006757	0.0481335	7.1666665	0.02247	0.002696061	0.041054978	143.7847233	39.5	20.30423333	35.88583333	0.03569	202.7101667	-0.81944	0.119350081	0.137128684		-3.34077547	-3.305388911
100	-12.31835607	-95.09176408	0.139125	1.37125	14.1205415	10.0165415			0	0.0063	0.00285	0.0020375	0.005225	0.0075	0	0.00235	0	0.0063	0.00285	0.0020375	0	0.000475	0.0139375	0.0012625	0	0	0.0127	0.000925	0.00025	0.0449125	0.0182	0.0631125	0.0415375	0.0565875	0.098125	0.002525	0.015625	7.19506002	19.53384706	73.27109292	0	0.941428571	42.45757077	3.73567E-06	0.027091569	1.13119	0.200351565	37.71595714		460.4045833	63.96371981	0.000306057	0.019472667	0.023439	2.814814667	0.032989667	0.010414852	0.074084151	79.89339938	52.33333333	20.50243333	35.7289	0.269516667	202.2786	2.465366667	1.194019584	0.837311044		-2.830683356	-2.760410228
101	-5.2529	-85.1545																																							0	0.85	47.5668	0.000004398	0.034300595	1.13119	0.307798102	35.1383		598.95	85.90293503	0.000337211	0.043188	0.012324	0											2.641166676	2.238418632		-2.527092942	-2.490111847
102	-4.729097194	-85.11930128	0.2238335	2.246125	30.7081665	22.4886665	7.8281295	25.1731935	0	0.0044375	0.0048875	0.00545	0.0084875	0.0098125	0	0.0018125	0	0.0044375	0.0048875	0.00545	0.0006125	0.002825	0.0160875	0.00165	0.000125	0	0.0308375	0.0021	0.000625	0.013275	0.05315	0.066425	0.0340125	0.1009375	0.13495	0.0022875	0.0118125	7.550608137	17.63107363	74.81831824	0	0.473333333	50.58232671	5.01075E-06	0.040185876	1.13119	0.468447011	31.40834444		598.95	89.29821434	0.000328556	-0.045571	0.0591965	3.388889	0.049	0.021015704	0.110617228	58.47047043	23	18.18353333	35.09143333	0.442373333	205.2141	12.1003	4.924221063	3.674937421		-2.542204063	-2.468886042
103	-0.0283	-84.5862																																							0	0	52.09342	0.000004387	0.041996677		0.167023093	34.1044			52.97491837	0.00013555	-0.04145	0.138825	4.166667											3.905265974	2.948716126		-2.627790779	-2.565384647
104	-0.0283	-84.5862																																							0	0	52.09342	0.000004387	0.041996677		0.167023093	34.1044			52.97491837	0.00013555	-0.04145	0.138825	4.166667											4.453468065	3.642050849		-2.689482617	-2.625968182
105																																																																		4.025448142	3.623013053		-2.649527337	-2.598292846
106	0.273601067	-84.6003232	0.1260105	1.202224	15.52635575	12.861849	7.882094	22.6367055	0	0.009933333	0.004683333	0.00205	0.009075	0.008033333	0	0.002583333	0	0.009933333	0.004683333	0.00205	0.0004875	0.001183333	0.017558333	0.002658333	0	0	0.024075	0.0009	0.000408333	0.037366667	0.023083333	0.06045	0.030316667	0.073458333	0.103775	0.001883333	0.008991667	8.69921443	21.88451848	69.41626709	0	0.185	47.67941325	4.6905E-06	0.040327071		0.168088035	31.18395		478.5445	53.06042881	0.000137927	-0.022022	0.0719255	3.125	0.049548	0.017769911	0.106153981	69.08471426	16.5	20.2018	35.0649	0.25419	200.437475	9.1057	3.273496208	2.491468114		-2.827316225	-2.766837862
107																																																																		3.279690682	2.433970191		-2.698913026	-2.657298839
108																																																																						
109	1.507799718	-84.56554802	0.072375	0.64075	6.448	5.792916667	8.021784	10.944395	0	0.014466667	0.008583333	0.011166667	0.016433333	0.0239	0	0.00685	0	0.014466667	0.008583333	0.011166667	0	0.006316667	0.04505	0.0034	0	0.0001	0.079833333	0.007833333	0.001683333	0.016683333	0.05565	0.072333333	0.1053	0.18835	0.29365	0.0037	0.020933333	9.639374326	27.58649457	62.7741311	0	0.76	39.051249	5.2435E-06	0.040592255	1.4944	0.215109594	34.36545		492.6568333	67.01446152	0.00023864	0.0148515	0.0348855	1.0416665	0.043346	0.017101927	0.100963125	70.2766676	14.4	21.8178	35.09295	0.284378333	197.0699	2.94703	1.815437724	2.047681105		-2.81197674	-2.780672184
110	-3.817381006	-86.65631145	0.277916667	1.158958333	14.05008333	9.833	7.6390795	41.3112665	0	0.0219	0.02075	0.003383333	0.0212	0.027083333	0	0.007216667	0	0.0219	0.02075	0.003383333	0	0.002083333	0.049483333	0.004966667	0	0	0.0386	0.00175	0	0.00145	0.046416667	0.047866667	0.049233333	0.147016667	0.19625	0	0.00845	20.59345513	36.8224709	42.58407397	0	0.391666667	45.17770975	0.00000425	0.027801305	1.4242	0.201654142	40.32373333		544.47775	63.01652177	0.000233069	-0.021735	0.041763	17.152778	0.052479	0.018059755	0.112833438	62.72267183	24.5	22.49195	35.12035	0.38976	191.5074	8.11345	3.289457363	3.145162084	2.794382392	-2.832355935	-2.767927202
111	-17.71401105	-103.2552867	0.0469375	1.048875	10.4785	7.194	7.927835	23.288596	0	0.0089	0.0025	0.0018	0.0093	0.0089375	0	0.00285	0	0.0089	0.0025	0.0018	0	0.00035	0.0207625	0.00125	0	0	0.0198375	0.0006625	0	0	0.0271	0.0271	0.032025	0.0456875	0.0777125	0	0.0049625	9.260586344	36.19451712	54.54489653	0	0.2225	31.72492117	0.000080254	0.009656218	1.29183	0.081342803	31.16837692		304.613	35.61623961	0.000191888	-0.0981655	0.029447	22.6944445	0.0414446	0.011880373	0.090985872	78.16964746	45.25	22.599575	35.631875	0.3360825	200.6927	2.69565	0.521502868	0.304694574	0.182207063	-3.035577536	-3.054908272
112	-23.21886056	-130.1812132	0.006625	0.3525625	2.134333333	1.154083333	7.90518	19.118601	0	0.00205	0	0	0	0.002133333	0	0	0	0.00205	0	0	0	0	0.005033333	0.000575	0	0	0.02385	0	0	0.0026	0.002766667	0.005366667	0.026833333	0.01455	0.041383333	0	0.003283333	0	21.5181062	78.4818938	0	0.958	29.36752388	0.00014586	0.005655671	0.840496667	0.041879225	15.82246667		120.5318333	26.2598045	0.000165104	-0.09643	0.035095	6.6527775	0.02274	0.004548871	0.053811044	119.7936083	123	23.96606	36.5256	0.04670874	203.0247	1.5478375	0.04214035	0.034212495	0.012948	-3.691885551	-3.822425305
113	-23.12632658	-134.9307101																																							0	0.39	27.349518	0.000136731	0.004963625		0.194400956	10.0736			70.71096929	0.000686629	-0.047055333	0.031083333	5.314814667	0.022558	0.004093334	0.04685672	124.3603706	138	24.3099	36.6285	0.026572	201.1099	0.87996				-3.9978565	
114	-23.23190682	-134.9560136																																							0	0.046666667	27.807395	0.000138129	0.005523346		0.104026841	1.94365			47.44641781	0.000440634	-0.0515355	0.0294575	19.611111															
115	-23.22151136	-134.9686386																																							0	0.005	28.03648	0.000139327	0.005991011		0.195665486	2.1569			68.94278717	0.00058788	-0.0487795	0.0264525	36.7083335															
116	-23.1570625	-135.01961																																							0	0	28.03648	0.000140383	0.005991528		0.247609574	3.53225			79.00179863	0.000641003	-0.0440935	0.024121	46.8333335															
117	-23.13054857	-134.99906																																							0	0.106666667	29.338277	0.000140437	0.005842786		0.232917383	5.22165			54.03551197	0.000424203	-0.030481	0.040935	28.166667															
118	-23.02314872	-134.9217923																																							0	0.3	30.640074	0.000140491	0.005694044		0.123570686	3.01052			28.01496029	0.000167496	-0.0169355	0.0582665	9.555556															
119	-23.03332105	-134.9407368																																							0	0.47	29.836321	0.000142003	0.005533675		0.236789391	0.696885			27.82110786	0.000178399	0.0081665	0.050652	4.777778															
120	-21.99031282	-135.3394487																																							0	0.42	37.2487765	0.000072915	0.01774245		0.194318336	13.69451		300.345	41.59049606	0.000125815	0.0205265	0.036011	7.9166665															
121	-8.9971	-139.1963																																							0	0.2	45.464985	0.000002316	0.030111594		0.095593981	39.197		300.345	41.59049606	0.000125815	0.007751	0.028977	15.833333														-3.901834	
