Latitude	Longitude	Day of year	Export flux	PP	export ratio	Depth	% nitrate remaining	Si:N ratio	% microplankton	% nanoplankton	% picoplankton	log(mesozooplankton biomass)	log(bacteria abundance)	log(macrozooplankton abundance)	Reference	DOI
NaN	165.8	87	643.2	0	NaN	100	23.803	2.248	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
-76.5	165.8	113	-260.4	0	NaN	100	67.12	1.334	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
-73.5	175.4	60	193.2	420.89	0.459	100	36.647	2.008	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
-73.5	175.4	111	-30	0	NaN	100	50.645	2.298	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	291	19.2	0	NaN	100	85.257	3.707	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	306	46.8	0	NaN	100	93.934	4.012	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
-76.5	-165.8	296	-20.4	0	NaN	100	85.622	5.292	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	19	88.8	0	NaN	100	36.999	2.314	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	32	386.4	0	NaN	100	36.142	2.347	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-165.8	13	358.8	0	NaN	100	38.624	2.273	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-165.8	39	1092	0	NaN	100	28.501	2.526	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.4	24	142.8	0	NaN	100	31.948	2.029	0.292	0.518	0.19	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	104	170.4	0	NaN	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	113	38.4	0	NaN	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-165.8	108	226.8	0	NaN	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-165.8	117	102	0	NaN	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.4	103	260.4	0	NaN	100	84.556	2.624	0.303	0.52	0.177	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.4	120	27.6	0	NaN	100	84.556	2.624	0.303	0.52	0.177	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
-46.01	63.06	32	30.36	756.77	0.04	100	33.904	1.186	0.25	0.507	0.243	NaN	NaN	NaN	Coppola et al. 2005	https://doi.org/10.1016/j.dsr.2004.07.020
-45.66	63.11	32	12.12	888.59	0.014	100	22.407	1.259	0.256	0.509	0.235	NaN	NaN	NaN	Coppola et al. 2005	https://doi.org/10.1016/j.dsr.2004.07.020
-45.19	63.08	32	27	888.59	0.03	100	22.407	1.259	0.256	0.509	0.235	NaN	NaN	NaN	Coppola et al. 2005	https://doi.org/10.1016/j.dsr.2004.07.020
-44.84	62.88	32	1.2	1165.5	0.001	100	14.66	1.062	0.313	0.486	0.2	NaN	NaN	NaN	Coppola et al. 2005	https://doi.org/10.1016/j.dsr.2004.07.020
-44.33	62.53	32	3	1165.5	0.003	100	14.66	1.062	0.313	0.486	0.2	NaN	NaN	NaN	Coppola et al. 2005	https://doi.org/10.1016/j.dsr.2004.07.020
-44.07	63.73	32	11.52	1034.1	0.011	100	17.257	1.193	0.303	0.492	0.205	NaN	NaN	NaN	Coppola et al. 2005	https://doi.org/10.1016/j.dsr.2004.07.020
-44.01	64.73	32	11.88	1029.1	0.012	100	20.107	1.314	0.296	0.504	0.2	NaN	NaN	NaN	Coppola et al. 2005	https://doi.org/10.1016/j.dsr.2004.07.020
-42.91	63.08	32	11.28	1951.5	0.006	100	5.328	0.957	0.337	0.473	0.191	NaN	NaN	NaN	Coppola et al. 2005	https://doi.org/10.1016/j.dsr.2004.07.020
-47	-6	305	1009.6	676.6	1.492	100	75.436	2.078	0.239	0.514	0.247	NaN	NaN	NaN	Friedrich and Loeff. 2002	https://doi.org/10.1016/S0967-0637(01)00045-0
-49	-6	305	168.72	669.45	0.252	100	81.911	2.616	0.259	0.507	0.234	NaN	NaN	NaN	Friedrich and Loeff. 2002	https://doi.org/10.1016/S0967-0637(01)00045-0
-51	-6	305	208.32	465.84	0.447	100	79.803	1.853	0.224	0.511	0.265	NaN	NaN	NaN	Friedrich and Loeff. 2002	https://doi.org/10.1016/S0967-0637(01)00045-0
-53	-6	305	452.4	418.99	1.08	100	86.865	0.98	0.193	0.504	0.303	NaN	NaN	NaN	Friedrich and Loeff. 2002	https://doi.org/10.1016/S0967-0637(01)00045-0
-55	-6	305	290.52	177.15	1.64	100	81.318	1.679	0.189	0.517	0.294	NaN	NaN	NaN	Friedrich and Loeff. 2002	https://doi.org/10.1016/S0967-0637(01)00045-0
NaN	-6	305	464.52	0	NaN	100	76.486	2.492	0.198	0.521	0.28	NaN	NaN	NaN	Friedrich and Loeff. 2002	https://doi.org/10.1016/S0967-0637(01)00045-0
51	165	58	0	426.52	0	100	99.838	144.373	NaN	NaN	NaN	NaN	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
47	160	56	64.95	391.1	0.166	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
39	160	67	19.98	794.78	0.025	100	91.047	0	NaN	NaN	NaN	1.26	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
39	160	55	27.98	643.02	0.044	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
51	165	96	31.97	573.28	0.056	100	95.514	1.134	NaN	NaN	NaN	1.932	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
47	160	98	53.96	609.03	0.089	100	58.211	0	NaN	NaN	NaN	-0.447	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
44	155	99	29.98	705.18	0.043	100	96.283	7.652	NaN	NaN	NaN	NaN	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
47	160	147	91.92	914.75	0.1	100	44.089	1.488	NaN	NaN	NaN	-0.447	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
39	160	150	97.92	1634.2	0.06	100	27.77	1.954	NaN	NaN	NaN	1.26	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
47	160	192	178.85	1408.1	0.127	100	23.896	1.5	NaN	NaN	NaN	1.487	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
39	160	194	127.89	1522.7	0.084	100	2.216	1.851	NaN	NaN	NaN	-0.883	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
44	155	190	152.87	1275.5	0.12	100	15.463	2.452	NaN	NaN	NaN	2.387	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
51	165	233	103.91	1126.4	0.092	100	10.601	2.205	NaN	NaN	NaN	1.672	NaN	-5.655	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
47	160	277	86.93	1372.5	0.063	100	28.62	1.38	NaN	NaN	NaN	2.766	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
44	155	280	126.89	1583.9	0.08	100	24.173	2.585	NaN	NaN	NaN	1.218	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
51	165	270	83.93	1205.7	0.07	100	20.384	2.174	NaN	NaN	NaN	NaN	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
47	160	277	67.94	1372.5	0.05	100	28.62	1.38	NaN	NaN	NaN	2.766	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
39	160	280	24.98	907.73	0.028	100	1.641	2.015	NaN	NaN	NaN	-1.595	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
51	165	289	62.95	835.41	0.075	100	29.913	2.421	NaN	NaN	NaN	NaN	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
47	160	294	76.94	1059	0.073	100	28.62	1.38	NaN	NaN	NaN	2.766	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
39	160	301	67.94	870.73	0.078	100	1.641	2.015	NaN	NaN	NaN	-1.595	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
44	155	308	120.9	1060.7	0.114	100	56.18	3.362	NaN	NaN	NaN	1.218	NaN	NaN	Kawakami et al. 2007	https://doi.org/10.1016/j.dsr.2007.04.005
75.533	30.266	191	745.2	1470.4	0.507	120	2.564	0.569	0.429	0.438	0.133	NaN	NaN	NaN	Lalande et al. 2008	https://doi.org/10.1016/j.jmarsys.2007.09.004
78.216	27.316	194	98.4	890.48	0.111	120	0.079	0.733	0.306	0.529	0.165	NaN	NaN	NaN	Lalande et al. 2008	https://doi.org/10.1016/j.jmarsys.2007.09.004
79.033	25.683	196	252	959.99	0.263	120	NaN	NaN	0.348	0.503	0.148	NaN	NaN	NaN	Lalande et al. 2008	https://doi.org/10.1016/j.jmarsys.2007.09.004
77.05	29.15	199	1504.8	836.06	1.8	120	0.508	0.62	0.305	0.526	0.169	NaN	NaN	NaN	Lalande et al. 2008	https://doi.org/10.1016/j.jmarsys.2007.09.004
NaN	16.316	140	630	0	NaN	120	7.965	0.394	NaN	NaN	NaN	NaN	NaN	NaN	Lalande et al. 2008	https://doi.org/10.1016/j.jmarsys.2007.09.004
NaN	29.933	145	1321.2	0	NaN	120	8.694	0.273	NaN	NaN	NaN	NaN	NaN	NaN	Lalande et al. 2008	https://doi.org/10.1016/j.jmarsys.2007.09.004
NaN	41.033	148	487.2	0	NaN	120	17.306	0.146	NaN	NaN	NaN	NaN	NaN	NaN	Lalande et al. 2008	https://doi.org/10.1016/j.jmarsys.2007.09.004
75.666	31.783	151	795.6	2008.9	0.396	120	4.701	0.294	0.526	0.373	0.101	NaN	NaN	NaN	Lalande et al. 2008	https://doi.org/10.1016/j.jmarsys.2007.09.004
NaN	-158.68	150	44.4	0	NaN	100	30.069	1.182	NaN	NaN	NaN	NaN	20.694	NaN	Lalande et al. 2007	https://doi.org/10.1016/j.marchem.2006.07.004
72.72	-158.4	151	0	0	NaN	100	30.069	1.182	NaN	NaN	NaN	NaN	20.694	NaN	Lalande et al. 2007	https://doi.org/10.1016/j.marchem.2006.07.004
71.99	-154.72	164	732	474.85	1.542	100	NaN	NaN	0.529	0.371	0.1	NaN	21.476	NaN	Lalande et al. 2007	https://doi.org/10.1016/j.marchem.2006.07.004
71.91	-154.99	167	266.4	474.85	0.561	100	NaN	NaN	0.529	0.371	0.1	NaN	21.476	NaN	Lalande et al. 2007	https://doi.org/10.1016/j.marchem.2006.07.004
71.91	-154.99	206	523.2	4102.2	0.128	100	NaN	NaN	0.529	0.371	0.1	NaN	21.476	NaN	Lalande et al. 2007	https://doi.org/10.1016/j.marchem.2006.07.004
72.21	-153.93	209	202.8	724.92	0.28	100	11.088	2.641	0.371	0.474	0.154	NaN	21.241	NaN	Lalande et al. 2007	https://doi.org/10.1016/j.marchem.2006.07.004
72.85	-158.21	225	27.6	1036.7	0.027	100	3.043	2.593	NaN	NaN	NaN	NaN	20.694	NaN	Lalande et al. 2007	https://doi.org/10.1016/j.marchem.2006.07.004
73.13	-157.79	227	33.6	1023.4	0.033	100	4.14	2.328	NaN	NaN	NaN	NaN	20.653	NaN	Lalande et al. 2007	https://doi.org/10.1016/j.marchem.2006.07.004
55.26	-53.98	196	360	2218.7	0.162	100	2.663	0.493	0.536	0.354	0.11	NaN	22.168	NaN	Moran et al. 2003	https://doi.org/10.4319/lo.2003.48.3.1018
58.22	-50.8	196	456	2003.2	0.228	100	6.566	0.536	0.446	0.417	0.137	NaN	22.276	NaN	Moran et al. 2003	https://doi.org/10.4319/lo.2003.48.3.1018
60.29	-48.54	196	564	1272.3	0.443	100	5.489	0.676	0.468	0.402	0.13	2.122	21.992	NaN	Moran et al. 2003	https://doi.org/10.4319/lo.2003.48.3.1018
-43.927	50.257	314	225.6	1803.8	0.125	100	71.079	1.666	0.358	0.466	0.176	NaN	NaN	-9.485	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-46.057	51.792	316	162	870.35	0.186	100	76.936	0.554	0.284	0.499	0.217	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-46.042	51.8	321	58.8	974.93	0.06	100	76.936	0.554	0.284	0.499	0.217	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-47.796	52.855	323	58.8	683.28	0.086	100	68.356	0.435	0.212	0.505	0.283	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-49.015	51.473	326	69.6	544.97	0.128	100	72.729	1.52	0.197	0.523	0.281	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-46.07	51.772	328	139.2	974.93	0.143	100	76.936	0.554	0.284	0.499	0.217	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-45.505	48.987	330	163.2	1172.7	0.139	100	60.765	0.447	0.321	0.479	0.201	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-44.954	49.941	333	183.6	1650.3	0.111	100	71.481	1.085	0.39	0.448	0.162	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-44.872	49.647	335	163.2	1650.3	0.099	100	71.488	1.118	0.306	0.493	0.201	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-43.118	47.185	336	200.4	1393.7	0.144	100	68.753	1.162	0.25	0.501	0.25	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-42.995	47.024	352	278.4	951.83	0.292	100	54.269	1.012	0.288	0.495	0.217	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-44.518	49.992	353	135.6	1104.1	0.123	100	71.488	1.118	0.306	0.493	0.201	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-46.081	51.782	356	240	767.77	0.313	100	63.877	0.787	0.332	0.484	0.184	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-45.997	56.152	360	153.6	909.21	0.169	100	87.794	3.865	0.278	0.509	0.214	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-46.063	51.777	364	187.2	364.32	0.514	100	63.877	0.787	0.332	0.484	0.184	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-48.999	51.538	2	172.8	342.8	0.504	100	57.73	1.437	0.233	0.497	0.27	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-47.8	52.848	5	225.6	335.04	0.673	100	57.389	1.049	0.243	0.506	0.251	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-46.143	51.858	8	165.6	366.79	0.451	100	65.134	1.512	0.332	0.484	0.184	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-46.032	51.87	9	121.2	735.47	0.165	100	65.134	1.512	0.332	0.484	0.184	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-46.042	51.962	11	146.4	735.47	0.199	100	65.134	1.512	0.332	0.484	0.184	NaN	NaN	NaN	Morris et al. 2007	https://doi.org/10.1016/j.dsr2.2007.06.002
-67.6	-84.93	341	252	1159.1	0.217	100	49.856	1.922	0.312	0.48	0.208	NaN	NaN	NaN	Shimmield et al. 1995	https://doi.org/10.1016/0967-0645(95)00071-W
-41.04	-41.56	122	84	951.24	0.088	100	24.407	0.07	0.325	0.49	0.185	NaN	NaN	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
-32.97	-31.01	125	32.4	485.2	0.067	100	12.266	0.78	0.17	0.481	0.349	NaN	NaN	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
-24.23	-25	128	30	423.56	0.071	100	21.958	1.205	0.163	0.505	0.332	NaN	NaN	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
-12.28	-25	131	39.6	537.73	0.074	100	4.533	0.133	0.164	0.507	0.329	NaN	NaN	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
-0.94	-25	134	297.6	1251	0.238	100	37.859	1.259	0.209	0.478	0.313	NaN	21.5	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
11.4	-29.37	137	182.4	1515.7	0.12	100	45.192	3.122	0.231	0.484	0.285	NaN	20.846	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
22.33	-33.74	140	0	865.12	0	100	11.079	1.903	0.178	0.469	0.353	NaN	NaN	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
29.3	-36.7	142	0	570.52	0	100	42.502	9.116	0.177	0.486	0.337	NaN	NaN	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
38.67	-16.39	146	488.4	1124.8	0.434	100	4.676	0.404	0.298	0.497	0.204	NaN	NaN	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
49	-16.39	149	63.6	2067.6	0.031	100	17.882	0.363	0.312	0.474	0.213	NaN	NaN	NaN	Thomalla et al. 2008	https://doi.org/10.1029/2007GB002982
10	-170	94	21.48	910.06	0.024	100	9.174	0.226	0.19	0.478	0.332	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
8	-170	95	20.45	1226.9	0.017	100	16.594	0.206	0.199	0.474	0.327	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
2	-170	97	19.65	1715.9	0.011	100	64.73	1.283	0.242	0.489	0.269	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
1	-170	97	31.29	1887.4	0.017	100	67.384	1.357	0.253	0.492	0.254	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
0	-170	98	46.23	1782.1	0.026	100	69.244	1.448	0.251	0.49	0.259	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-1	-170	100	49.02	1658.8	0.03	100	66.854	1.429	0.241	0.486	0.273	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-2	-170	100	33.84	1502.6	0.023	100	64.964	1.531	0.221	0.479	0.3	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-8	-170	102	19.4	708.01	0.027	100	12.574	2.233	0.181	0.479	0.34	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-10	-170	103	22.57	524.76	0.043	100	57.45	11.169	0.163	0.505	0.332	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
10	-140	125	15.44	1669	0.009	100	79.321	8.137	0.237	0.485	0.278	NaN	22.134	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
9	-140	125	17.39	1717.7	0.01	100	66.641	2.953	0.243	0.488	0.269	NaN	22.134	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
5	-140	123	37.94	1585.5	0.024	100	40.834	0.861	0.252	0.495	0.252	NaN	22.41	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
2	-140	122	42.16	1576	0.027	100	45.934	0.679	0.239	0.486	0.275	NaN	22.315	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
1	-140	121	85.25	1748.2	0.049	100	47.853	0.482	0.254	0.49	0.256	NaN	22.256	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
0	-140	120	57.91	1734	0.033	100	35.159	0.487	0.257	0.491	0.251	NaN	22.264	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-1	-140	119	43.55	1593.8	0.027	100	32.496	0.339	0.246	0.487	0.267	NaN	22.239	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-2	-140	118	32.74	1334.6	0.025	100	30.471	0.319	0.218	0.479	0.303	NaN	22.33	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-5	-140	117	17.07	1290	0.013	100	54.773	0.123	0.206	0.477	0.317	NaN	22.422	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-7	-140	116	10.46	1273.7	0.008	100	62.77	0.188	0.212	0.478	0.309	NaN	22.36	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
5	-125	78	64.93	1734	0.037	100	93.934	22.649	0.249	0.492	0.259	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
0	-125	76	47.89	1791.1	0.027	100	42.305	0.566	0.26	0.492	0.248	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-1	-125	75	86.52	1643.4	0.053	100	27.708	0.564	0.253	0.49	0.257	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-2	-125	75	24.34	1459.4	0.017	100	42.024	0.567	0.229	0.483	0.289	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-5	-125	74	17.44	1386.8	0.013	100	40.879	0.478	0.214	0.479	0.307	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-8	-125	73	14.29	1416.3	0.01	100	33.316	0.594	0.206	0.477	0.317	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
10	-110	61	17.48	1744.7	0.01	100	100	NaN	0.221	0.484	0.295	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
8	-110	62	50.55	1535.5	0.033	100	100	NaN	0.218	0.485	0.297	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
2	-110	64	16.18	1745	0.009	100	40.907	1.35	0.253	0.489	0.258	NaN	NaN	-6.012	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
1	-110	65	14.56	1921.5	0.008	100	42.094	1.12	0.264	0.491	0.245	NaN	NaN	-5.877	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
0	-110	65	19.32	1972.9	0.01	100	50.286	1.319	0.27	0.493	0.237	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-1	-110	66	13.75	1762.1	0.008	100	33.039	0.785	0.264	0.492	0.244	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-2	-110	66	18	1605.5	0.011	100	28.801	0.89	0.244	0.488	0.268	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-5	-110	67	21.03	1482.6	0.014	100	30.737	0.524	0.223	0.483	0.294	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-8	-110	70	18.57	1476.4	0.013	100	43.085	0.359	0.215	0.479	0.306	NaN	NaN	-5.025	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
3	-95	336	16.79	1202	0.014	100	41.652	0.182	0.225	0.489	0.286	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
0	-95	318	26.37	1793.6	0.015	100	94.491	8.062	0.3	0.497	0.203	2.231	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-1	-95	335	49.79	1637.1	0.03	100	49.024	0.456	0.279	0.495	0.226	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-2	-95	334	27.99	1528.7	0.018	100	100	NaN	0.287	0.492	0.221	2.157	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-3	-95	334	35.17	1496.7	0.023	100	84.384	2.166	0.276	0.494	0.231	1.635	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
10	-140	253	14.57	926.49	0.016	100	37.597	5.111	0.176	0.475	0.35	NaN	22.134	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-5	-140	260	23	1621.4	0.014	100	64.94	0.19	0.218	0.476	0.306	NaN	22.422	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-7	-140	260	32.98	1531.8	0.022	100	53.744	0.264	0.228	0.477	0.295	NaN	22.36	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
10	-125	275	25.2	831.15	0.03	100	25.896	1.428	0.178	0.477	0.346	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
9	-125	274	8.78	857.2	0.01	100	40.557	1.67	0.176	0.477	0.348	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
8	-125	274	10.15	1083	0.009	100	48.177	1.969	0.189	0.479	0.332	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
5	-125	272	27.32	1674.2	0.016	100	71.385	4.643	0.23	0.486	0.285	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
2	-125	271	34.62	1741	0.02	100	71.946	1.37	0.243	0.487	0.27	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
1	-125	270	30.1	1843.6	0.016	100	52.908	0.882	0.261	0.492	0.247	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
